ID,SourceStructureID,TypeSource,TargetStructureID,TypeTarget,Bidirectional,LastModified,Links
1,1,Ribbon Synapse,192,Postsynapse,False,2020-03-31T21:26:23.027-07:00,"[{'SourceID': 24, 'TargetID': 42960, 'Directional': False}]"
2,1,Ribbon Synapse,192,Postsynapse,False,2020-03-31T21:26:25.823-07:00,"[{'SourceID': 24, 'TargetID': 42961, 'Directional': False}]"
3,1,Ribbon Synapse,146,Postsynapse,False,2015-02-16T22:02:12.817-08:00,"[{'SourceID': 43, 'TargetID': 147, 'Directional': False}]"
4,1,Cistern Post,192,Cistern Pre,False,2017-06-15T21:06:25.113-07:00,"[{'SourceID': 78, 'TargetID': 869, 'Directional': False}]"
5,80,Ribbon Synapse,1791,Postsynapse,False,2015-07-13T19:53:30.88-07:00,"[{'SourceID': 81, 'TargetID': 1792, 'Directional': False}]"
6,80,Ribbon Synapse,1678,Postsynapse,False,2015-07-07T19:28:15.42-07:00,"[{'SourceID': 85, 'TargetID': 1679, 'Directional': False}]"
7,80,Ribbon Synapse,1665,Postsynapse,False,2018-05-08T17:11:25.56-07:00,"[{'SourceID': 85, 'TargetID': 27952, 'Directional': False}]"
8,80,Ribbon Synapse,1728,Postsynapse,False,2015-07-10T21:40:33.207-07:00,"[{'SourceID': 86, 'TargetID': 1729, 'Directional': False}]"
9,80,Ribbon Synapse,1730,Postsynapse,False,2015-07-10T21:41:26.393-07:00,"[{'SourceID': 86, 'TargetID': 1731, 'Directional': False}]"
10,80,Ribbon Synapse,1795,Postsynapse,False,2015-07-13T21:14:17.69-07:00,"[{'SourceID': 87, 'TargetID': 1797, 'Directional': False}]"
11,80,Ribbon Synapse,1839,Postsynapse,False,2015-07-14T17:02:02.143-07:00,"[{'SourceID': 90, 'TargetID': 1841, 'Directional': False}]"
12,80,Ribbon Synapse,1860,Postsynapse,False,2015-07-14T18:44:54.883-07:00,"[{'SourceID': 92, 'TargetID': 1861, 'Directional': False}]"
13,80,Ribbon Synapse,1872,Postsynapse,False,2015-07-14T19:08:05.547-07:00,"[{'SourceID': 94, 'TargetID': 1873, 'Directional': False}]"
14,80,Ribbon Synapse,2118,Postsynapse,False,2015-07-17T22:37:27.107-07:00,"[{'SourceID': 95, 'TargetID': 2119, 'Directional': False}]"
15,80,Ribbon Synapse,2007,Postsynapse,False,2015-07-18T15:44:26.67-07:00,"[{'SourceID': 97, 'TargetID': 2144, 'Directional': False}]"
16,80,Ribbon Synapse,2185,Postsynapse,False,2015-07-20T20:04:14.577-07:00,"[{'SourceID': 111, 'TargetID': 2186, 'Directional': False}]"
17,80,Ribbon Synapse,1929,Postsynapse,False,2015-07-14T22:10:00.677-07:00,"[{'SourceID': 113, 'TargetID': 1930, 'Directional': False}]"
18,80,Ribbon Synapse,1929,Postsynapse,False,2015-07-14T22:13:00.327-07:00,"[{'SourceID': 114, 'TargetID': 1931, 'Directional': False}]"
19,80,Ribbon Synapse,2118,Postsynapse,False,2015-07-17T22:53:29.617-07:00,"[{'SourceID': 115, 'TargetID': 2126, 'Directional': False}]"
20,135,Ribbon Synapse,266,Postsynapse,False,2015-04-10T19:51:55.06-07:00,"[{'SourceID': 139, 'TargetID': 877, 'Directional': False}]"
21,135,Ribbon Synapse,349,Postsynapse,False,2018-11-29T20:45:57.02-08:00,"[{'SourceID': 139, 'TargetID': 31293, 'Directional': False}]"
22,192,Conventional,1,Postsynapse,False,2019-06-13T22:51:44.307-07:00,"[{'SourceID': 198, 'TargetID': 31182, 'Directional': False}]"
23,192,Conventional,1,Postsynapse,False,2015-02-16T23:36:05.477-08:00,"[{'SourceID': 204, 'TargetID': 51, 'Directional': False}]"
24,192,Conventional,1,Postsynapse,False,2020-03-10T20:40:01.56-07:00,"[{'SourceID': 204, 'TargetID': 68, 'Directional': False}]"
25,192,Conventional,1,Postsynapse,False,2015-02-16T23:56:10.513-08:00,"[{'SourceID': 211, 'TargetID': 22, 'Directional': False}]"
26,192,Conventional,1134,Postsynapse,False,2015-05-15T21:39:40.147-07:00,"[{'SourceID': 217, 'TargetID': 1136, 'Directional': False}]"
27,80,Ribbon Synapse,1730,Postsynapse,False,2015-07-13T15:17:20.323-07:00,"[{'SourceID': 228, 'TargetID': 1762, 'Directional': False}]"
28,80,Ribbon Synapse,2022,Postsynapse,False,2015-07-16T21:50:34.013-07:00,"[{'SourceID': 233, 'TargetID': 2023, 'Directional': False}]"
29,80,Ribbon Synapse,2033,Postsynapse,False,2015-07-16T22:29:33.627-07:00,"[{'SourceID': 237, 'TargetID': 2034, 'Directional': False}]"
30,80,Ribbon Synapse,2046,Postsynapse,False,2015-07-17T17:16:04.663-07:00,"[{'SourceID': 247, 'TargetID': 2047, 'Directional': False}]"
31,80,Ribbon Synapse,265,Postsynapse,False,2020-02-27T17:24:16.433-08:00,"[{'SourceID': 249, 'TargetID': 42496, 'Directional': False}]"
32,135,Ribbon Synapse,192,Postsynapse,False,2015-02-27T14:34:27.04-08:00,"[{'SourceID': 290, 'TargetID': 200, 'Directional': False}]"
33,301,Ribbon Synapse,265,Postsynapse,False,2020-07-31T18:35:46.14-07:00,"[{'SourceID': 304, 'TargetID': 44793, 'Directional': False}]"
34,318,Ribbon Synapse,265,Postsynapse,False,2018-09-25T22:06:36.473-07:00,"[{'SourceID': 322, 'TargetID': 29913, 'Directional': False}]"
35,318,Ribbon Synapse,265,Postsynapse,False,2018-09-26T23:49:57.12-07:00,"[{'SourceID': 322, 'TargetID': 29936, 'Directional': False}]"
36,318,Ribbon Synapse,265,Postsynapse,False,2020-02-27T17:19:55.18-08:00,"[{'SourceID': 324, 'TargetID': 29936, 'Directional': False}]"
37,352,Ribbon Synapse,1685,Postsynapse,False,2020-03-10T19:28:32.053-07:00,"[{'SourceID': 356, 'TargetID': 42722, 'Directional': False}]"
38,352,Ribbon Synapse,262,Postsynapse,False,2020-09-10T17:22:00.14-07:00,"[{'SourceID': 361, 'TargetID': 45336, 'Directional': False}]"
39,352,Ribbon Synapse,1685,Postsynapse,False,2020-03-03T21:17:19.18-08:00,"[{'SourceID': 389, 'TargetID': 42568, 'Directional': False}]"
40,352,Ribbon Synapse,1685,Postsynapse,False,2020-03-03T00:12:19.947-08:00,"[{'SourceID': 411, 'TargetID': 42556, 'Directional': False}]"
