ID,TypeID,Notes,Verified,Tags,Confidence,Version,ParentID,Created,Label,Username,LastModified
1,1,"Probable Rod Bipolar cell
*****BEGIN MERGE FROM 26243*****
Possible branch off C1
*****END MERGE FROM 26243*****
",False,"<Structure><Attrib Name=""Soma"" Value=""1.0"" /></Structure>",0.5,AAAAAAA0Oss=,,2015-02-11T22:03:41.62-08:00,CBa,rpfeiffer       ,2020-11-10T18:54:38.643-08:00
2,73,,False,,0.5,AAAAAAA0Xzg=,1,2015-02-11T22:45:21.887-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
3,35,,False,,0.5,AAAAAAA0Xzk=,1,2015-02-11T22:52:22.787-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
4,35,,False,,0.5,AAAAAAA0Xzo=,1,2015-02-11T22:52:49.07-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
5,73,,False,,0.5,AAAAAAA0Xzs=,1,2015-02-11T22:59:19.037-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
6,35,,False,,0.5,AAAAAAA0Xzw=,1,2015-02-11T23:00:07.79-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
7,35,,False,,0.5,AAAAAAA0Xz0=,1,2015-02-11T23:01:28.903-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
8,35,,False,,0.5,AAAAAAA0Xz4=,1,2015-02-11T23:02:31.98-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
9,73,,False,,0.5,AAAAAAA0Xz8=,1,2015-02-11T23:04:29.21-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
10,73,,False,,0.5,AAAAAAA0X0A=,1,2015-02-11T23:09:59.35-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
11,73,,False,,0.5,AAAAAAA0X0E=,1,2015-02-11T23:12:34.347-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
13,35,,False,,0.5,AAAAAAA0X0I=,1,2015-02-11T23:22:53.803-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
14,35,,False,,0.5,AAAAAAA0X0M=,1,2015-02-11T23:23:15.357-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
15,73,,False,,0.5,AAAAAAA0X0Q=,1,2015-02-11T23:26:25.63-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
16,73,,False,,0.5,AAAAAAA0X0U=,1,2015-02-11T23:29:02.343-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
17,35,,False,,0.5,AAAAAAA0X0Y=,1,2015-02-11T23:29:41.233-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
18,35,,False,,0.5,AAAAAAA0X0c=,1,2015-02-11T23:30:16.417-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
19,35,,False,,0.5,AAAAAAA0X0g=,1,2015-02-11T23:31:42.7-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
20,35,,False,,0.5,AAAAAAA0X0k=,1,2015-02-11T23:32:30.393-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
21,35,,False,,0.5,AAAAAAA0X0o=,1,2015-02-11T23:32:48.023-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
22,35,,False,,0.5,AAAAAAA0X0s=,1,2015-02-11T23:33:21.94-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
23,73,,False,,0.5,AAAAAAA0X0w=,1,2015-02-11T23:33:27.587-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
24,73,,False,,0.5,AAAAAAA0X00=,1,2015-02-12T00:28:33.173-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
28,35,,False,,0.5,AAAAAAA0X04=,1,2015-02-12T00:51:30.62-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
30,73,,False,,0.5,AAAAAAA0X08=,1,2015-02-12T00:53:07.217-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
31,28,,False,,0.5,AAAAAAA0X1A=,1,2015-02-12T00:56:06.417-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
32,73,,False,,0.5,AAAAAAA0X1E=,1,2015-02-12T00:57:05.437-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
33,73,,False,,0.5,AAAAAAA0X1I=,1,2015-02-12T00:59:28.04-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
35,73,,False,,0.5,AAAAAAA0X1M=,1,2015-02-12T01:05:52.72-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
36,73,,False,,0.5,AAAAAAA0X1Q=,1,2015-02-12T01:06:10.813-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
37,73,,False,,0.5,AAAAAAA0X1U=,1,2015-02-12T01:12:07.55-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
38,35,,False,,0.5,AAAAAAA0X1Y=,1,2015-02-12T01:12:15.763-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
39,35,,False,,0.5,AAAAAAA0X1c=,1,2015-02-12T01:16:50.653-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
40,73,,False,"<Structure><Attrib Name=""Abnormal Ribbon"" /></Structure>",0.5,AAAAAAA0X1g=,1,2015-02-12T01:18:03.43-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
41,35,,False,,0.5,AAAAAAA0X1k=,1,2015-02-12T18:36:07.127-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
42,35,,False,,0.5,AAAAAAA0X1o=,1,2015-02-12T18:36:20.623-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
43,73,,False,,0.5,AAAAAAA0X1s=,1,2015-02-12T18:37:15.34-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
44,73,,False,,0.5,AAAAAAA0X1w=,1,2015-02-12T18:38:33.353-08:00,,rpfeiffer       ,2020-11-16T17:19:33.57-08:00
